product_id,post_title,price,stock_quantity,chiffre_affaires
4799,Domaine de la Monardière Vacqueyras Les Deux Monardes 2017,14.9,56,834.4
5004,David Duband Vosne Romanée 2017,59.4,1,59.4
4609,François Bergeret Hautes Côtes de Beaune Rouge 2017,11.8,237,2796.6
4261,Chermette Domaine du Vissoux Beaujolais Griottes 2018,9.9,89,881.1
5618,"Albert Boxler Riesling Grand Cru Sommerberg ""D"" 2018",71.3,31,2210.3
4107,Emile Boeckel Pinot Noir Terres Rouges 2016,35.0,35,1225.0
5912,Kingsbarns Distillery Lowland Single Malt Whisky,57.0,8,456.0
4929,Domaine La Croix Belle Côtes de Thongue Rouge N°7 2017,16.7,4,66.8
4228,Domaine de Bellivière Jasnières Les Rosiers 2015,29.9,8,239.2
4901,Domaine Des Croix Beaune 1er Cru Les Cent Vignes 2017,41.0,36,1476.0
5968,Zind-Humbrecht Pinot Gris Clos Windsbuhl 2013,71.5,18,1287.0
4902,Domaine Des Croix Savigny-Lès-Beaune 1er Cru Les Peuillets 2015,46.0,11,506.0
4155,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,14.5,70,1015.0
4304,Domaine de l'Idylle Savoie Cruet 2018,8.1,133,1077.3
4221,Xavier Frissant Touraine Les Roses du Clos 2018,12.8,83,1062.4
5547,Thierry Germain Saumur-Champigny Terres Chaudes 2017,24.6,32,787.2
4671,Domaine Pellé Menetou Salon Rouge Les Cris 2015,21.9,24,525.6
4729,Emile Boeckel Crémant Brut Blanc de Blancs,8.6,151,1298.6
5377,Argentine Alamos Catena Malbec 2017,19.0,7,133.0
4783,Maurice Schoech Pinot Gris Vendanges Tardives 2015,29.5,5,147.5
5766,Camille Giroud Auxey-Duresses Blanc 2017,35.6,30,1068.0
5925,Albert Mann Riesling Grand Cru Furstentum 2017,49.5,12,594.0
5485,Decelle-Villa Savigny-Lès-Beaune Blanc 2018,33.4,13,434.2
4281,Château de Cazeneuve Val de Montferrand Rouge Caza Sorix 2019,11.6,4,46.4
6622,Thierry Germain Saumur-Champigny Les Mémoires 2018,42.2,12,506.4
4900,Domaine Brintet Mercurey Rouge Vieilles Vignes 2018,20.8,42,873.6
4179,Domaine de l'Hortus Pic Saint-Loup La Grande Cuvée 2018,24.0,73,1752.0
4297,Domaine de La Tour Du Bon Bandol Blanc 2019,19.0,26,494.0
4245,Parcé Frères IGP Pays d'Oc Zoé Viognier 2019,8.9,141,1254.9
5483,David-Beaupère Juliénas La Bottière Vieilles Vignes 2018,17.9,22,393.8
6753,Château Simone Palette Rouge 2015,46.5,29,1348.5
5890,Saumaize-Michelin Saint-Véran Les Crèches 2018,19.3,55,1061.5
